Restaurant ID,Cuisine
6317637,French
6317637,Japanese
6317637,Desserts
6304287,Japanese
6300002,Seafood
6300002,Asian
6300002,Filipino
6300002,Indian
6318506,Japanese
6318506,Sushi
6314302,Japanese
6314302,Korean
18189371,Chinese
6300781,Asian
6300781,European
6301290,Seafood
6301290,Filipino
6301290,Asian
6301290,European
6300010,European
6300010,Asian
6300010,Indian
6314987,Filipino
6309903,Filipino
6309903,Mexican
6309455,American
6309455,Ice Cream
6309455,Desserts
6318433,Filipino
6318433,Mexican
6310470,Filipino
6314605,Korean
18185059,Cafe
18185059,American
18185059,Italian
18185059,Filipino
18182702,Italian
18182702,Pizza
6318213,Filipino
18255654,Cafe
18255654,Korean
18255654,Desserts
6308205,Cafe
6308205,Bakery
6308205,American
6308205,Italian
6315438,Seafood
6315438,American
6315438,Mediterranean
6315438,Japanese
6310406,American
6310406,Asian
6310406,Italian
6310406,Seafood
6600681,Fast Food
6600681,French
6601005,Cafe
6600292,Bakery
6600441,Brazilian
6600970,Pizza
6600379,Japanese
6600214,Arabian
6601218,Japanese
6600060,Brazilian
6600060,Cafe
6600083,Italian
6601515,Pizza
6601361,Bar Food
6601361,Brazilian
6601602,Mexican
6601602,Grill
6601589,International
6601862,Peruvian
6601862,Latin American
6601595,American
6601595,Grill
6601158,Seafood
6600427,International
6600116,Italian
6601457,American
6601457,Burger
7303219,Seafood
7303219,Bar Food
7303219,Brazilian
7304307,Desserts
7304307,Cafe
7301215,Juices
7301215,Healthy Food
7300596,Beverages
7300596,Bar Food
7300596,Fast Food
7300612,Lebanese
7300704,Burger
7300955,Brazilian
7300955,Bar Food
7300521,Brazilian
7300521,Healthy Food
7300521,Juices
7300521,Pizza
7300515,Brazilian
7300515,Bar Food
7300483,Brazilian
7301064,Brazilian
7304312,Italian
7300004,Japanese
7300868,Bakery
7300868,Sandwich
7300868,Brazilian
7302637,Brazilian
7302140,Brazilian
7302140,Seafood
7305048,Bar Food
7305048,Brazilian
7302898,Brazilian
7302859,Brazilian
7302859,Bar Food
7301700,Brazilian
7301700,Bar Food
6706313,Italian
6706313,Pizza
6704326,Steak
6704326,BBQ
6711179,Indian
6702797,Brazilian
6700475,Beverages
6700475,International
6713413,French
6713413,Brazilian
6713413,Beverages
6714340,Brazilian
6714340,Grill
6710645,Brazilian
6700402,French
6700846,Sushi
6700846,Japanese
6702159,BBQ
6702159,Grill
6702159,Brazilian
6711666,Sushi
6701257,Gourmet Fast Food
6701257,Burger
6706211,Brazilian
6706211,Italian
6705858,Italian
6701419,Brazilian
6701419,Mineira
6703956,Brazilian
6709580,Brazilian
6709580,North Eastern
6703176,Brazilian
6703176,Bar Food
6703176,Beverages
6713772,Lebanese
6713772,Arabian
17284404,BBQ
17284404,Burger
17284404,Seafood
17284203,American
17284203,BBQ
17284105,Unspecified
17284302,Mexican
17284397,Coffee and Tea
17284397,Sandwich
17284211,Unspecified
17284094,Fast Food
17284409,Asian
17284409,Chinese
17284409,Vegetarian
17284139,Pizza
17284139,Bar Food
17284139,Sandwich
17284403,Steak
17284403,Tapas
17284403,Bar Food
17284145,Chinese
17284145,Seafood
17284145,Vegetarian
17284150,Chinese
17284158,Unspecified
17284175,American
17284175,Burger
17284175,Sandwich
17284179,American
17284179,Steak
17284197,Japanese
17284197,Steak
17284197,Sushi
17284241,Japanese
17284241,Steak
17284241,Sushi
17284390,Seafood
17284390,Tapas
17284390,Bar Food
17284279,Italian
17284279,Pizza
17284364,American
17284364,Breakfast
17284364,Diner
16611114,Bar Food
16611114,Steak
17293281,American
17293281,Southern
17293281,Southwestern
17293301,Southern
17293409,Mexican
17293163,Japanese
17293163,Korean
17293228,Breakfast
17293228,Burger
17293228,Sandwich
17293880,Breakfast
17293880,Sandwich
17293169,American
17293169,Burger
17293169,Sandwich
17293186,American
17293186,Italian
17293186,Pizza
17293180,American
17293180,Italian
17293180,Pizza
17293205,American
17293229,International
17293229,Southern
17293229,Vegetarian
17293897,Sandwich
17293273,Italian
17293870,Asian
17293870,Japanese
17293870,Sushi
17293877,Mexican
17293877,Spanish
17293890,International
17293890,Southern
17293915,Bar Food
17293422,Italian
17293422,Pizza
17293422,Sandwich
17293873,Burger
17293873,Bar Food
17294014,Desserts
17294014,Latin American
17294014,Argentine
17294556,Chinese
17294556,Steak
17294607,American
17294607,Caribbean
17294607,Seafood
17294279,International
17294279,Tapas
17294279,Vegetarian
17294300,Desserts
17294300,Sandwich
17294300,Southern
17295215,American
17295215,Burger
17295028,Breakfast
17295028,French
17294642,BBQ
17295109,American
17294441,Desserts
17294441,Italian
17294441,Pizza
17294552,Italian
17294552,Pizza
17294552,Sandwich
17294565,Mexican
17294623,Bar Food
17294623,Sandwich
17294623,Seafood
17294712,Mexican
17294712,Southwestern
17294712,Sushi
17295033,Steak
17295069,Indian
17294261,German
17295115,Vietnamese
17294836,Burger
17294836,Seafood
17294850,Thai
17294883,Mexican
16608864,Modern Australian
16604911,Pizza
16604911,Bar Food
17303465,American
17303465,Bar Food
17303642,Italian
17303642,Pizza
17303670,Breakfast
17303670,Sandwich
17303545,American
17303545,Seafood
17303545,Steak
17303655,European
17303655,Spanish
17304691,Latin American
17304691,Steak
17303478,American
17303478,Burger
17303478,Sandwich
17303480,American
17303480,Bar Food
17304733,American
17304733,Burger
17303646,Pizza
17304929,American
17304929,Burger
17303684,Pizza
17303772,Mexican
17305123,Italian
17305123,Seafood
17305123,Vegetarian
17303787,Sushi
17303787,Thai
17303990,Japanese
17303990,Sushi
17303990,Teriyaki
17304741,Breakfast
17304726,Brazilian
17304486,American
17304486,BBQ
17304486,Steak
17304533,American
17316233,American
17316233,Mediterranean
17316233,Seafood
17315883,Italian
17315883,Pizza
17315995,Mexican
17316018,American
17316018,Breakfast
17316018,Burger
17316038,American
17316038,BBQ
17316038,Burger
17316771,Indian
17316201,Chinese
17316201,Sushi
17316201,Thai
17316208,Chinese
